session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,thisRow.t,notes,Globals.started,Globals.stopped,SessionIntro.started,sessText.started,sessKey.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,trialText.started,trialKey.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,img.started,resp.started,img.stopped,Frame.stopped,frameIdx,stimFile,expected,resp,rt,correct,resp.keys,resp.rt,resp.duration,resp.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,0,0,0,0,1.3078865299466997,,0.01348750595934689,0.013575640972703695,0.020603206008672714,0.03142482100520283,0.03142482100520283,0.9281866829842329,return,0.8873697730014101,None,0.9287462759530172,0.9366742159472778,0.9366742159472778,1.2947353620547801,return,0.3555017609614879,None,1.2956259460188448,1.3078865299466997,1.3078865299466997,2.297398876049556,3.2964124870486557,0,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,,,,,None,,,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,1,0,1,0,4.354179966030642,,,,,,,,,,,,,,,,,,3.2969630119623616,4.354179966030642,4.354179966030642,,5.29643261001911,1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,x,x,0.519624050008133,1,x,0.519624050008133,None,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,2,0,2,0,6.159998841001652,,,,,,,,,,,,,,,,,,5.297056913957931,6.159998841001652,6.159998841001652,7.147722047986463,7.2963985649403185,2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,b,b,0.7428580779815093,1,b,0.7428580779815093,None,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,3,0,3,0,8.16469288803637,,,,,,,,,,,,,,,,,,7.2970357639715075,8.16469288803637,8.16469288803637,9.163112369948067,9.29665811394807,3,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,x,x,0.4985376950353384,1,x,0.4985376950353384,None,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,4,0,4,0,10.01738898397889,,,,,,,,,,,,,,,,,,9.29730163095519,10.01738898397889,10.01738898397889,11.014428406953812,11.296607795986347,4,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,b,b,0.26771501905750483,1,b,0.26771501905750483,None,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,5,0,5,0,12.217522718012333,,,,,,,,,,,,,,,,,,11.297240954008885,12.217522718012333,12.217522718012333,13.214224313967861,13.296755234943703,5,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,0.25675777590367943,1,x,0.25675777590367943,None,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,0,0,0,0,14.278545986977406,,,,13.297294066054747,,,13.297325717052445,None,,,13.297397100017406,13.299313836963847,13.299313836963847,14.26540984294843,return,0.9656669140094891,None,14.266102746943943,14.278545986977406,14.278545986977406,15.264852117979899,16.26347323798109,0,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,,,,,None,,,16.26888925896492,1,2025-10-12_11h11.53.676,1back_category,2023.2.3,None,2025-10-12 11h12.02.758246 -0400,
,,,,,,,,,,,,,,,,,,,,16.26888925896492,,,,,,,,,,,,,,,,,,16.26387774804607,16.26888925896492,16.26888925896492,17.26447841397021,,,,,,,,,,,,,,,,,,
