session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,thisRow.t,notes,Globals.started,Globals.stopped,SessionIntro.started,sessText.started,sessKey.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,trialText.started,trialKey.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,img.started,resp.started,img.stopped,resp.stopped,Frame.stopped,frameIdx,stimFile,expected,resp,rt,correct,resp.keys,resp.rt,resp.duration,ITI.started,itiText.started,itiKey.started,ITI.stopped,itiKey.keys,itiKey.rt,itiKey.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,3,0,3,0,20.19821247900836,,,,,,,,,,,,,,,,,,20.190186290012207,20.19821247900836,20.19821247900836,21.19098447303986,,22.18931451300159,3,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,x,x,0.2467837380245328,1,x,0.2467837380245328,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,4,0,4,0,22.199286974035203,,,,,,,,,,,,,,,,,,22.19010932202218,22.199286974035203,22.199286974035203,23.191040771023836,,24.189456614025403,4,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,b,b,0.13721388496924192,1,b,0.13721388496924192,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,5,0,5,0,24.199131358007435,,,,,,,,,,,,,,,,,,24.190246284997556,24.199131358007435,24.199131358007435,25.191251697018743,,26.18968276603846,5,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,0.26195044798078015,1,x,0.26195044798078015,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,0,0,0,0,27.731157476024237,,,,26.19056792301126,26.198451887990814,26.198451887990814,26.80838694603881,return,0.6096324220416136,None,26.808662330033258,26.82087178400252,26.82087178400252,27.72120684600668,return,0.8953884320217185,None,27.722192941000685,27.731157476024237,27.731157476024237,28.723403147014324,,29.722842562012374,0,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,,x,0.5699551759753376,,x,0.5699551759753376,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,1,0,1,0,29.73080562602263,,,,,,,,,,,,,,,,,,29.723693926993292,29.73080562602263,29.73080562602263,30.72367503202986,,31.722798409988172,1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,x,b,0.6718236500164494,0,b,0.6718236500164494,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,2,0,2,0,31.73185837903293,,,,,,,,,,,,,,,,,,31.723586468026042,31.73185837903293,31.73185837903293,32.72381333401427,,33.72257443802664,2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,x,x,0.30431834096089005,1,x,0.30431834096089005,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,3,0,3,0,33.729364407015964,,,,,,,,,,,,,,,,,,33.72307953098789,33.729364407015964,33.729364407015964,34.723677429021336,,35.72308074403554,3,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,b,b,0.11363694199826568,1,b,0.11363694199826568,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,4,0,4,0,35.73209940799279,,,,,,,,,,,,,,,,,,35.723701033042744,35.73209940799279,35.73209940799279,36.72413978498662,,37.72307449398795,4,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,b,b,0.42049786599818617,1,b,0.42049786599818617,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,5,0,5,0,37.73043214099016,,,,,,,,,,,,,,,,,,37.723698385001626,37.73043214099016,37.73043214099016,38.72400468203705,,39.723178628017195,5,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,0.31062271405244246,0,b,0.31062271405244246,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,x,b,b,x,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.72378966404358,39.726703513995744,39.726703513995744,41.60526179900626,return,1.8753972999984398,None,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
