session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sessKey.keys,sessKey.rt,sessKey.duration,trialKey.keys,trialKey.rt,trialKey.duration,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,thisRow.t,notes,Globals.started,Globals.stopped,SessionIntro.started,sessText.started,sessKey.started,SessionIntro.stopped,trials.sessKey.keys,trials.sessKey.rt,trials.sessKey.duration,TrialIntro.started,trialText.started,trialKey.started,TrialIntro.stopped,trials.trialKey.keys,trials.trialKey.rt,trials.trialKey.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020396078005433083,0.020473452983424067,,,,,,,,,,,,,,,pilot,2025-10-12_15h32.50.098,1back_category,,2025.1.1,None,2025-10-12 15h33.00.323526 -0400,
1,images/157_Chairs.png,images/188_Chairs.png,images/306_Planes.png,images/352_Cars.png,images/386_Cars.png,images/402_Animals.png,x,b,x,b,x,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0.04134040791541338,,,,0.034794478910043836,0.04134040791541338,0.04134040791541338,1.1269949849229306,return,0.8913457690505311,None,1.127066346933134,1.1344574509421363,1.1344574509421363,1.4417703410144895,return,0.2958927589934319,None,,,,,,,,
