session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sessKey.keys,sessKey.rt,sessKey.duration,trialKey.keys,trialKey.rt,trialKey.duration,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,thisRow.t,notes,Globals.started,Globals.stopped,SessionIntro.started,sessText.started,sessKey.started,SessionIntro.stopped,trials.sessKey.keys,trials.sessKey.rt,trials.sessKey.duration,TrialIntro.started,trialText.started,trialKey.started,TrialIntro.stopped,trials.trialKey.keys,trials.trialKey.rt,trials.trialKey.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018951833015307784,0.019033004995435476,,,,,,,,,,,,,,,pilot,2025-10-12_15h23.54.430,1back_category,,2025.1.1,None,2025-10-12 15h24.01.601201 -0400,
1,images/157_Chairs.png,images/188_Chairs.png,images/306_Planes.png,images/352_Cars.png,images/386_Cars.png,images/402_Animals.png,x,b,x,b,x,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0.042864962946623564,,,,0.033066545031033456,0.042864962946623564,0.042864962946623564,1.1000285129994154,return,0.8679592249682173,None,1.1000770289683715,1.1071780279744416,1.1071780279744416,1.393425005953759,return,0.2829788119997829,None,,,,,,,,
